"ID" "block" "cond" "N" "accuracy" "sd" "se" "ci"
"25" 2 10 "nrep" 15 0.4 0.50709255283711 0.130930734141595 0.280818495626199
"26" 2 11 "nrep" 15 0.4 0.50709255283711 0.130930734141595 0.280818495626199
"27" 2 12 "nrep" 15 0.4 0.50709255283711 0.130930734141595 0.280818495626199
"28" 2 13 "nrep" 15 0.266666666666667 0.457737708217063 0.118187368057056 0.253486693688815
"29" 2 14 "nrep" 15 0.4 0.50709255283711 0.130930734141595 0.280818495626199
"30" 2 15 "nrep" 15 0.4 0.50709255283711 0.130930734141595 0.280818495626199
"31" 3 1 "nrep" 15 0.6 0.50709255283711 0.130930734141595 0.280818495626199
"32" 3 2 "nrep" 15 0.4 0.50709255283711 0.130930734141595 0.280818495626199
"33" 3 3 "nrep" 15 0.666666666666667 0.487950036474267 0.125988157669742 0.270217723405353
"34" 3 4 "nrep" 15 0.733333333333333 0.457737708217063 0.118187368057056 0.253486693688815
"35" 3 5 "nrep" 15 0.6 0.50709255283711 0.130930734141595 0.280818495626199
"36" 3 6 "nrep" 15 1 0 0 0
"37" 3 7 "nrep" 15 0.866666666666667 0.351865775274498 0.0908513525158996 0.194856771455429
"38" 3 8 "nrep" 15 0.866666666666667 0.351865775274498 0.0908513525158996 0.194856771455429
"39" 3 9 "nrep" 15 0.6 0.50709255283711 0.130930734141595 0.280818495626199
"40" 3 10 "nrep" 15 0.8 0.414039335605413 0.10690449676497 0.229287341540059
"41" 3 11 "nrep" 15 0.933333333333333 0.258198889747161 0.0666666666666667 0.14298577919452
"42" 3 12 "nrep" 15 0.733333333333333 0.457737708217063 0.118187368057056 0.253486693688815
"43" 3 13 "nrep" 15 0.866666666666667 0.351865775274498 0.0908513525158996 0.194856771455429
"44" 3 14 "nrep" 15 0.866666666666667 0.351865775274498 0.0908513525158996 0.194856771455429
"45" 3 15 "nrep" 15 0.933333333333333 0.258198889747161 0.0666666666666667 0.14298577919452
"46" 4 1 "nrep" 15 0.533333333333333 0.516397779494322 0.133333333333333 0.28597155838904
"47" 4 2 "nrep" 15 0.533333333333333 0.516397779494322 0.133333333333333 0.28597155838904
"48" 4 3 "nrep" 15 0.666666666666667 0.487950036474267 0.125988157669742 0.270217723405353
"49" 4 4 "nrep" 15 0.666666666666667 0.487950036474267 0.125988157669742 0.270217723405353
"50" 4 5 "nrep" 15 1 0 0 0
"51" 4 6 "nrep" 15 1 0 0 0
"52" 4 7 "nrep" 15 0.866666666666667 0.351865775274498 0.0908513525158996 0.194856771455429
"53" 4 8 "nrep" 15 1 0 0 0
"54" 4 9 "nrep" 15 0.866666666666667 0.351865775274498 0.0908513525158996 0.194856771455429
"55" 4 10 "nrep" 15 1 0 0 0
