"ID" "block" "cond" "N" "accuracy" "sd" "se" "ci" "sub_name"
"1" 1 1 "nrep" 15 0.4 0.50709255283711 0.130930734141595 0.280818495626199 "polynrep1.txt"
"2" 1 2 "nrep" 15 0.266666666666667 0.457737708217063 0.118187368057056 0.253486693688815 "polynrep1.txt"
"3" 1 3 "nrep" 15 0.4 0.50709255283711 0.130930734141595 0.280818495626199 "polynrep1.txt"
"4" 1 4 "nrep" 15 0.4 0.50709255283711 0.130930734141595 0.280818495626199 "polynrep1.txt"
"5" 1 5 "nrep" 15 0.266666666666667 0.457737708217063 0.118187368057056 0.253486693688815 "polynrep1.txt"
"6" 1 6 "nrep" 15 0.6 0.50709255283711 0.130930734141595 0.280818495626199 "polynrep1.txt"
"7" 1 7 "nrep" 15 0.533333333333333 0.516397779494322 0.133333333333333 0.28597155838904 "polynrep1.txt"
"8" 1 8 "nrep" 15 0.533333333333333 0.516397779494322 0.133333333333333 0.28597155838904 "polynrep1.txt"
"9" 1 9 "nrep" 15 0.8 0.414039335605413 0.10690449676497 0.229287341540059 "polynrep1.txt"
"10" 1 10 "nrep" 15 0.666666666666667 0.487950036474267 0.125988157669742 0.270217723405353 "polynrep1.txt"
"11" 1 11 "nrep" 15 0.8 0.414039335605413 0.10690449676497 0.229287341540059 "polynrep1.txt"
"12" 1 12 "nrep" 15 0.6 0.50709255283711 0.130930734141595 0.280818495626199 "polynrep1.txt"
"13" 1 13 "nrep" 15 0.733333333333333 0.457737708217063 0.118187368057056 0.253486693688815 "polynrep1.txt"
"14" 1 14 "nrep" 15 0.666666666666667 0.487950036474267 0.125988157669742 0.270217723405353 "polynrep1.txt"
"15" 1 15 "nrep" 15 0.466666666666667 0.516397779494322 0.133333333333333 0.28597155838904 "polynrep1.txt"
"16" 2 1 "nrep" 15 0.6 0.50709255283711 0.130930734141595 0.280818495626199 "polynrep10.txt"
"17" 2 2 "nrep" 15 0.466666666666667 0.516397779494322 0.133333333333333 0.28597155838904 "polynrep10.txt"
"18" 2 3 "nrep" 15 0.466666666666667 0.516397779494322 0.133333333333333 0.28597155838904 "polynrep10.txt"
"19" 2 4 "nrep" 15 0.466666666666667 0.516397779494322 0.133333333333333 0.28597155838904 "polynrep10.txt"
"20" 2 5 "nrep" 15 0.533333333333333 0.516397779494322 0.133333333333333 0.28597155838904 "polynrep10.txt"
"21" 2 6 "nrep" 15 0.6 0.50709255283711 0.130930734141595 0.280818495626199 "polynrep10.txt"
"22" 2 7 "nrep" 15 0.4 0.50709255283711 0.130930734141595 0.280818495626199 "polynrep10.txt"
"23" 2 8 "nrep" 15 0.6 0.50709255283711 0.130930734141595 0.280818495626199 "polynrep10.txt"
"24" 2 9 "nrep" 15 0.933333333333333 0.258198889747161 0.0666666666666667 0.14298577919452 "polynrep10.txt"
"25" 2 10 "nrep" 15 0.6 0.50709255283711 0.130930734141595 0.280818495626199 "polynrep10.txt"
"26" 2 11 "nrep" 15 0.8 0.414039335605413 0.10690449676497 0.229287341540059 "polynrep10.txt"
"27" 2 12 "nrep" 15 0.866666666666667 0.351865775274498 0.0908513525158996 0.194856771455429 "polynrep10.txt"
"28" 2 13 "nrep" 15 0.8 0.414039335605413 0.10690449676497 0.229287341540059 "polynrep10.txt"
"29" 2 14 "nrep" 15 0.733333333333333 0.457737708217063 0.118187368057056 0.253486693688815 "polynrep10.txt"
"30" 2 15 "nrep" 15 0.666666666666667 0.487950036474267 0.125988157669742 0.270217723405353 "polynrep10.txt"
"31" 3 1 "nrep" 15 0.466666666666667 0.516397779494322 0.133333333333333 0.28597155838904 "polynrep11.txt"
"32" 3 2 "nrep" 15 0.866666666666667 0.351865775274498 0.0908513525158996 0.194856771455429 "polynrep11.txt"
"33" 3 3 "nrep" 15 0.733333333333333 0.457737708217063 0.118187368057056 0.253486693688815 "polynrep11.txt"
"34" 3 4 "nrep" 15 0.933333333333333 0.258198889747161 0.0666666666666667 0.14298577919452 "polynrep11.txt"
"35" 3 5 "nrep" 15 0.933333333333333 0.258198889747161 0.0666666666666667 0.14298577919452 "polynrep11.txt"
"36" 3 6 "nrep" 15 0.8 0.414039335605413 0.10690449676497 0.229287341540059 "polynrep11.txt"
"37" 3 7 "nrep" 15 1 0 0 0 "polynrep11.txt"
"38" 3 8 "nrep" 15 0.733333333333333 0.457737708217063 0.118187368057056 0.253486693688815 "polynrep11.txt"
"39" 3 9 "nrep" 15 0.866666666666667 0.351865775274498 0.0908513525158996 0.194856771455429 "polynrep11.txt"
"40" 3 10 "nrep" 15 0.866666666666667 0.351865775274498 0.0908513525158996 0.194856771455429 "polynrep11.txt"
"41" 3 11 "nrep" 15 1 0 0 0 "polynrep11.txt"
"42" 3 12 "nrep" 15 0.933333333333333 0.258198889747161 0.0666666666666667 0.14298577919452 "polynrep11.txt"
"43" 3 13 "nrep" 15 0.866666666666667 0.351865775274498 0.0908513525158996 0.194856771455429 "polynrep11.txt"
"44" 3 14 "nrep" 15 1 0 0 0 "polynrep11.txt"
"45" 3 15 "nrep" 15 0.866666666666667 0.351865775274498 0.0908513525158996 0.194856771455429 "polynrep11.txt"
"46" 4 1 "nrep" 15 0.533333333333333 0.516397779494322 0.133333333333333 0.28597155838904 "polynrep12.txt"
"47" 4 2 "nrep" 15 0.933333333333333 0.258198889747161 0.0666666666666667 0.14298577919452 "polynrep12.txt"
"48" 4 3 "nrep" 15 0.8 0.414039335605413 0.10690449676497 0.229287341540059 "polynrep12.txt"
"49" 4 4 "nrep" 15 0.933333333333333 0.258198889747161 0.0666666666666667 0.14298577919452 "polynrep12.txt"
"50" 4 5 "nrep" 15 0.8 0.414039335605413 0.10690449676497 0.229287341540059 "polynrep12.txt"
"51" 4 6 "nrep" 15 1 0 0 0 "polynrep12.txt"
"52" 4 7 "nrep" 15 0.733333333333333 0.457737708217063 0.118187368057056 0.253486693688815 "polynrep12.txt"
"53" 4 8 "nrep" 15 0.8 0.414039335605413 0.10690449676497 0.229287341540059 "polynrep12.txt"
"54" 4 9 "nrep" 15 0.733333333333333 0.457737708217063 0.118187368057056 0.253486693688815 "polynrep12.txt"
"55" 4 10 "nrep" 15 0.866666666666667 0.351865775274498 0.0908513525158996 0.194856771455429 "polynrep12.txt"
"56" 4 11 "nrep" 15 0.8 0.414039335605413 0.10690449676497 0.229287341540059 "polynrep12.txt"
"57" 4 12 "nrep" 15 0.8 0.414039335605413 0.10690449676497 0.229287341540059 "polynrep12.txt"
"58" 4 13 "nrep" 15 0.866666666666667 0.351865775274498 0.0908513525158996 0.194856771455429 "polynrep12.txt"
"59" 4 14 "nrep" 15 0.8 0.414039335605413 0.10690449676497 0.229287341540059 "polynrep12.txt"
"60" 4 15 "nrep" 15 0.733333333333333 0.457737708217063 0.118187368057056 0.253486693688815 "polynrep12.txt"
"61" 5 1 "nrep" 15 0.466666666666667 0.516397779494322 0.133333333333333 0.28597155838904 "polynrep13.txt"
"62" 5 2 "nrep" 15 0.4 0.50709255283711 0.130930734141595 0.280818495626199 "polynrep13.txt"
"63" 5 3 "nrep" 15 0.466666666666667 0.516397779494322 0.133333333333333 0.28597155838904 "polynrep13.txt"
"64" 5 4 "nrep" 15 0.333333333333333 0.487950036474267 0.125988157669742 0.270217723405353 "polynrep13.txt"
"65" 5 5 "nrep" 15 0.6 0.50709255283711 0.130930734141595 0.280818495626199 "polynrep13.txt"
"66" 5 6 "nrep" 15 0.6 0.50709255283711 0.130930734141595 0.280818495626199 "polynrep13.txt"
"67" 5 7 "nrep" 15 0.666666666666667 0.487950036474267 0.125988157669742 0.270217723405353 "polynrep13.txt"
"68" 5 8 "nrep" 15 0.466666666666667 0.516397779494322 0.133333333333333 0.28597155838904 "polynrep13.txt"
"69" 5 9 "nrep" 15 0.533333333333333 0.516397779494322 0.133333333333333 0.28597155838904 "polynrep13.txt"
"70" 5 10 "nrep" 15 0.4 0.50709255283711 0.130930734141595 0.280818495626199 "polynrep13.txt"
"71" 5 11 "nrep" 15 0.733333333333333 0.457737708217063 0.118187368057056 0.253486693688815 "polynrep13.txt"
"72" 5 12 "nrep" 15 0.533333333333333 0.516397779494322 0.133333333333333 0.28597155838904 "polynrep13.txt"
"73" 5 13 "nrep" 15 0.6 0.50709255283711 0.130930734141595 0.280818495626199 "polynrep13.txt"
